perturbation,Reference (Pubmed ID),Annotation_summary,effect_direction,notes,Annotation_1,Annotation_2,Annotation_3,,Included in CellOracle lit review?,CO categorization,CO references
Lmo2,PMID26764384 PMID37573405,ME,Essential for proliferation and survival of several AML lines. ,,"Stemness, self-renewal, cell cycle",Erythroid differentiation,,,yes,"GM & ME, stemness","18295580, 24041784"
Foxp1,PMID15286807 PMID28232582 PMID18799727 PMID31077741,GM & DC,Pleiotropic,"GoF has effects on HSC’s and AML but for evidence of roles in myelopoeisis, we only found that GoF impairs monocyte differentiation and LoF impairs DC maturation. ","Stemness, self-renewal, cell cycle",,,,yes,"GM & ME, stemness",28232582
Smarcc1,PMID18206867 PMID39088321,no known effect,none,Alias Baf155 or Srg3. SWI/SNF member. LoF is (doubly) embryonic lethal. Conditional LoF in embryonic hematopoiesis affects myeloid and erythroid differentiation. Effects on adult HSC derivatives are not known.,"Stemness, self-renewal",Chromatin remodeling,,,yes,"GM & ME, stemness","29596882, 33207205, 25789315"
Nfya,PMID39192759 PMID39327506 PMID9885213 ,no known effect,none,"Review paper mentions importance in HSC self-renewal and connections to important genes such as Cebpe, but no direct evidence for necessity in myelopoeisis.","Stemness, self-renewal",,,,yes,"GM & ME, stemness",16081537
Smarca5,PMID15965950 PMID25789315 PMID14617767,ME,LoF inhibits lineage,Smarca5 (alias Snf2h) is early-embryonic lethal but LoF in K562 indicates specific roles in erythropoiesis with no inhibition of GM lineage. Smarca4 has a known effect in granulocytes. ,Broad cell function,"ATPase, chromatin remodeling","Stemness, self-renewal",,yes,"GM & ME, stemness",28276606
Cbx5,none,no known effect,none,,"Stemness, self-renewal",Chromatin remodeling,,,yes,"GM & ME, stemness",
Nfatc3,none,no known effect,none,"Closely related to nfatc1,2,4",Cell cycle,"GMP differentiation, erythroid differentiation",,,yes,"GM & ME, stemness","22311511, 25100642, 29515759"
Stat1,PMID18060035,ME,GoF promotes differentiation,Rescues Gata1 LoF,"Stemness, self-renewal",Erythroid differentiation,,,yes,"GM & ME, stemness","15213094, 23797472"
Runx2,PMID24101375 PMID28179276 PMID27149837,DC,LoF inhibits lineage,Alias CBFA1. ,"Stemness, self-renewal",,,,yes,"GM & ME, stemness",19179305
Smarcc2,PMID10535918,no known effect,none,"Alias BAF170. SWI/SNF member. LoF may affect myelopoiesis but direct evidence is confined to related genes, especially Smarcd2.",Chromatin remodeling,Granulocyte,,,yes,"GM & ME, stemness","25789315, 28369036"
Ezh2,"DOI10.1182/blood.V126.23.4112.4112, PMID26219303 PMID26497210  PMID34115825",GM & ME,Pleiotropic,"Splenomegaly, monocytosis, and increase in platelet numbers. Megakaryocyte maturation defects. ",Chromatin remodeling,"Stemness, self-renewal",,,yes,"GM & ME, stemness","26497210, 26219303"
Cux1,PMID29592892,GM & ME,Pleiotropic,"Defects in erythroid, platelet, and neutrophil lineages. LoF studies are tricky due to the gene being large and complex (33 exons). Effect is dosage-dependent. ","Stemness, self-renewal",,,,yes,"GM & ME, stemness",29592892
Bptf,PMID18974875 PMID37987160 PMID29456179 ,no known effect,none,"KO is early-embryo lethal, so myelopoiesis cannot be observed. Transplants indicate a very early defect prior to the ME-GM split.",Chromatin remodeling,,,,yes,"GM & ME, stemness",29456179
Rel,PMID33458695 PMID10518539 ,GM & ME,Pleiotropic,Double KO with RelA has a profound effect but single KO of Rel does not. Impaired erythropoiesis; impaired macrophage differentiation; granulocytosis; ,"Stemness, self-renewal",,,,yes,"GM & ME, stemness",10518539
Irf2,PMID19818776 PMID14505489,ME,GoF promotes megakaryocyte differentiation,,"Stemness, self-renewal",,,,yes,"GM & ME, stemness",19483695
Rara,PMID8394011 PMID9657762,GM,LoF inhibits lineage,Second reference discusses redundancy with Rarg: double KO is needed to observe the phenotype. Phenotype is granulocyte maturation.,"Stemness, self-renewal",,,,yes,"GM & ME, stemness",21364283
Klf1,PMID21055716 PMID25585695 PMID7753195,ME,LoF inhibits lineage,Controls globin expression and other genes important for erythroid differentiation,MEP,Erythroid differentiation,,,yes,ME,"18295580, 23361909"
Gata1,PMID18060035 PMID16127162 PMID7758949 PMID1987478 PMID14499119 PMID11012179 PMID1987478 PMID19491391,ME,LoF inhibits lineage and GoF promotes lineage,,MEP,Erythroid differentiation,,,yes,ME,"18295580, 15621534"
Ets1,PMID: 20435626 PMID: 9264374,GM,LoF promotes GM lineage,"Also likely role in erythroid differentiation but most papers are on cancer, not normal development.",MEP,"Erythroid differentiation, Mk differentiation","Stemness, self-renewal",,yes,ME,"16294212, 23927967"
Stat5a,PMID10428030  PMID31690038  PMID15353555,ME,LoF inhibits lineage and GoF promotes lineage,May be redundant with Stat5b,MEP,Erythroid differentiation,,,yes,ME,"18239084, 24498540"
Gfi1b,PMID38548886 PMID33193732 PMID29326122,ME,LoF inhibits lineage,,MEP,Erythroid differentiation,,,yes,ME,"18295580, 28401061"
Arhgef12,PMID31467124 DOI:10.1182/blood.V124.21.341.341,ME,LoF inhibits lineage,,MEP,Erythroid differentiation,,,yes,ME,31467124
Hoxa7,PMID12952893 PMID15070702,ME,LoF inhibits lineage,,MEP,,,,yes,ME,23212154
Hoxa5,PMID10397719 PMID10233891 PMID25590986,GM & ME,GoF inhibits erythroid differentiation; LoF inhibits GM fate choice and promotes erythroid fate.,,MEP,,,,yes,ME,23212154
Nfatc2,PMID23446734 PMID22311511 PMID21750088,GM & ME & DC,Highly pleiotropic,"LoF in some papers is achieved via VIVIT peptide, a selective NFAT inhibitor.","Megakaryocyte, erythrocyte",,,,yes,ME,21750088
Meis1,PMID14713950,ME,LoF inhibits lineage,KO mouse has no megakaryocytes; dies of hemorrhaging.,Silencing MEIS1 expression in progenitor cells induced a block in erythroid expansion and decreased megakaryocytic colony formation capacity.,,,,yes,ME,25107888
Nfatc1,PMID23446734 PMID22311511 PMID29515759,GM & ME & DC,Highly pleiotropic,"LoF in some papers is achieved via VIVIT peptide, a selective NFAT inhibitor.","Megakaryocyte, erythrocyte",,,,no,ME,"23446734, 30150396, 29515759"
Tbx21,PMID: 26607595,ME,LoF inhibits lineage,Alias is Tbet or T-bet. Megakaryocyte-specific role. We would have missed this paper in our search without the literature review from CellOracle.,Megakaryocyte,,,,no,ME,26607595
Gata3,PMID11495703,ME,GoF promotes differentiation,"Role is not physiological: other GATA factors normally are expressed, but not GATA3. ","Megakaryocyte, erythrocyte",Overexpression blocks GM in favor of ME fates,,,no,ME,11495703
Prdm16,PMID31270104,ME,GoF inhibits lineage,,"Megakaryocyte, erythrocyte",,,,no,ME,31270104
Jun,PMID7947389 PMID8043518,GM,GoF promotes differentiation,,Erythroid differentiation and other functions,,,,no,ME,"15314183, 36104445"
Herpud1,none,no known effect,none,,,,,,yes,No known role,
Elk3,none,no known effect,none,,,,,,yes,No known role,
Brf1,none,no known effect,none,,,,,,yes,No known role,
Zbtb1,none,no known effect,none,Controls lymphoid vs myeloid fate but does not affect downstream lineages in myelopoiesis.,Gene role in myeloid differentiation is unknown,Lymphoid development,,,yes,No known role,22201126
Irf9,none,no known effect,none,,,,,,yes,No known role,
Itgb2,none,no known effect,none,,,,,,yes,No known role,
Klf6,DOI10.1182/blood-2019-130800,GM & ME,LoF inhibits lineage,Block in terminal differentiation yields more cells but lower lineage marker expression.,,,,,yes,No known role,
Zfp238,none,no known effect,none,Alias is Zbtb18.,,,,,yes,No known role,
Id2,PMID18523151 PMID25051963,ME,GoF promotes differentiation,Erythroid-specific effect. Opposed by Gfi1. There Is an effect on DC’s but it’s thought to be in lymphoid-derived lineages. ,,,,,yes,No known role,
Zbtb16,none,no known effect,none,,,,,,yes,No known role,
Arid5a,none,no known effect,none,,,,,,yes,No known role,
Sox4,PMID24183681 PMID27175269  PMID22627767,no known effect,none,"Sox4 opposes the action of Cebpa. LoF promotes self-renewal. But, no known effect on downstream fate decisions. ",,,,,yes,No known role,
Bhlha15,https://doi.org/10.1101/2024.11.20.624578,DC,LoF inhibits lineage,LoF suppresses cDC1 differentiation.,,,,,yes,No known role,
Klf2,none,no known effect,none,Important for monocyte activation but no known role in myelopoiesis. ,"Embryonic Erythroid precursor formation, but not adult hematopoiesis",,,,yes,No known role,"25150253, 17675555"
Ikzf2,PMID30472158,no known effect,none,Important in AML but dispensable for myelopoiesis.,,,,,yes,No known role,
Sp100,none,no known effect,none,,,,,,yes,No known role,
Hlf,PMID29166614 PMID30796024,DC,GoF promotes differentiation,GoF promotes myeloid over lymphoid fate and cDC1 over cDC2,"LOF experiment showed phenotype in serial transplantation assay, but no effect on normal hematopoiesis.",,,,yes,No known role,29262330
Phf21a,none,no known effect,none,,,,,,yes,No known role,
Prdm5,PMID31119897,no known effect,none,Affects proliferation in AML,,,,,yes,No known role,
Irf7,PMID11585813,GM,LoF inhibits lineage,Essential for monocyte differentiation into macrophages. ,,,,,yes,No known role,
Zfhx3,none,no known effect,none,,,,,,yes,No known role,
Hivep2,none,no known effect,none,,,,,,yes,No known role,
Tcf7,none,no known effect,none,,,,,,yes,No known role,
Sox13,PMID32579887 PMID37149693,no known effect,none,Suspected but not proven to drive neutrophil commitment. Sox13 ko partially rescues a leukemia model and increases macrophage output. ,"T-lymphocyte differentiation phenotype was reported, but myeloid differentiation phenotype is unknown.",,,,yes,No known role,17218525
Pbx1,PMID23660001,ME,LoF inhibits lineage,Highly pleiotropic. LoF reduces the proportion of erythroid cells produced.  ,,,,,yes,No known role,
Stat4,,,,,"Involved in immune response, but role is unknown in differentiation.",,,,yes,No known role,15888914
Foxo1,,,,,"Involved in stress response, but role is unknown in differentiation.",,,,yes,No known role,21541992
Hnf4a,,,,,,,,,yes,No known role,
Nfat5,none,no known effect,none,Other nfat family members have known roles but this one does not. ,,,,,yes,No known role,
Mycn,none,no known effect,none,,,,,,yes,No known role,
Zbtb4,none,no known effect,none,,,,,,yes,No known role,
Egr1,PMID9731053 PMID7565701 PMID7678779,GM,GoF promotes differentiation,Promotes monocyte fate over granulocyte or erythroid. ,,,,,yes,No known role,
Pou2f2,none,no known effect,none,,,,,,no,Not reviewed,
Ikzf3,none,no known effect,none,,,,,,no,Not reviewed,
Bhlhe40,PMID33039338,no known effect,none,There is literature on roles in immune responses but no known roles in myelopoiesis.,,,,,no,Not reviewed,
Relb,PMID9881974,DC,LoF inhibits lineage,Paper notes both a cell-intrinsic and a secondary effect (in spleen vs thymus),,"Relb has effects on myeloid cells, but the effects are not cell-autonomous.",,,no,Not reviewed,28348230
Snai3,PMID22531927,no known effect,none,"LoF increases amount of myeloid cells relative to lymphoid, but no effect within the myeloid lineage.",,,,,no,Not reviewed,
Irf5,none,no known effect,none,There is literature on roles in immune responses but no known roles in myelopoiesis.,,"May affect balance between neutrophils and erythroid lineage, but effect is not cell-autonomous and the work is not on PubMed to cite. DOI10.4049/jimmunol.204.Supp.63.1",,,no,Not reviewed,
Zic4,none,no known effect,none,,,,,,no,Not reviewed,
Rarg,PMID9657762,GM,LoF inhibits lineage,First ref discusses reduncancy with Rara: double KO is needed to see the phenotype. Phenotype is granulocyte maturation.,,Effect on erythroipoiesis does not operate in erythroids themselves,,,no,Not reviewed,24383846
Eomes,none,no known effect,none,,,,,,no,Not reviewed,
